ID,duration,wav,words
0,3.0,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R001.wav,khách sạn
1,4.94,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R002.wav,chỉ bằng cách luôn nỗ lực thì cuối cùng bạn mới được đền đáp
2,4.34,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R003.wav,trong số các quốc gia công nghiệp phát triển
3,4.97,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R004.wav,anh đã nhìn thấy trong những lải nhải dông dài của nhu
4,3.25,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R005.wav,khủng hoảng môi trường cần được ngăn chặn
5,4.5,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R006.wav,trông thấy tàu cá đằng xa anh đã ấn còi cảnh báo
6,5.22,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R007.wav,mấy sào ruộng của gia đình ông đành bỏ hoang cho cỏ mọc
7,3.31,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R008.wav,có đêm gặp phải heo nọc nó rượt
8,4.69,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R009.wav,các bàn học nhỏ hằng ngày nay trở thành bàn thờ của các cháu
9,5.38,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R010.wav,cha mẹ tôi thường chì chiết nhau bằng những lời lẽ khó nghe
10,5.16,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R011.wav,hấp dẫn nhất là cuộc thi bơi thuyền truyền thống
11,3.28,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R012.wav,với những clip nhạc truyền hình
12,2.91,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R013.wav,một trong những cách tốt nhất
13,2.47,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R014.wav,ăn cắp phỗng tượng
14,3.25,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R015.wav,tới vỗ vai hỏi về chiếc áo mới mua
15,3.88,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R016.wav,bào chế những loại thuốc chữa nghiện ma túy
16,3.28,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R017.wav,những mái ngói âm dương cổ kính
17,2.78,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R018.wav,mặt mũi nó còn càu cạu
18,4.81,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R019.wav,nắng đào làm ửng hồng những đôi má thiếu nữ hà thành
